establecimiento_id,establecimiento_nombre,localidad_id,localidad_nombre,provincia_id,provincia_nombre,departamento_id,departamento_nombre,codloc,codent,origen_financiamiento,tipologia_id,tipologia_sigla,tipologia_nombre,cp,domicilio,sitio_web
51068612319195,LABORATORIO DE ANALISIS BIOQUIMICOS CLINICOS MOLINARI,6861010002,FLORIDA,6,BUENOS AIRES,861,VICENTE LÓPEZ,10,2.0,Privado,51,ESSID,Laboratorio de Análisis Clínicos,1602,Arenales 1511 - 1° piso,
53065682219223,SAME - MORON,6568010004,MORON,6,BUENOS AIRES,568,MORÓN,10,4.0,Municipal,53,ESCL,Sistema de Atención extra hospitalaria,1744,SIN DATO,
53064972219224,SAME - LUJAN,6497060000,LUJAN,6,BUENOS AIRES,497,LUJÁN,60,0.0,Municipal,53,ESCL,Sistema de Atención extra hospitalaria,6700,SIN DATO,
50020112319314,CENTRO MEDICO DEVOTO,2011010002,VILLA DEVOTO,2,CABA,11,COMUNA 11,10,2.0,Privado,50,ESSDIT,Con atención médica diaria y con especialidades y/o otras profesiones,1419,AV. FERNANDEZ DE ENCISO 4626,
51067352319314,LABORATORIO MURZICATO PIORNO,6735020000,SAN ANTONIO DE ARECO,6,BUENOS AIRES,735,SAN ANTONIO DE ARECO,20,0.0,Privado,51,ESSID,Laboratorio de Análisis Clínicos,2760,Alsina N° 267,
51141192335347,LABORATORIO DE ANALISIS CLINICOS QUINTANA,14119210000,VILLA DEL ROSARIO,14,CÓRDOBA,119,RÍO SEGUNDO,210,0.0,Privado,51,ESSID,Laboratorio de Análisis Clínicos,5963,SAN MARTIN 806,
51063712319322,LABORATORIO BIOQUIMICO PELLEGRINI,6371010003,CIUDAD DEL LIBERTADOR GENERAL SAN MARTIN,6,BUENOS AIRES,371,GENERAL SAN MARTÍN,10,3.0,Privado,51,ESSID,Laboratorio de Análisis Clínicos,1650,Pellegrini N° 2040 P.B. Depto. 2 (N° 93),www.lbpellegrini.com.ar
15020052319324,HOGAR GERIATRICO COPAHUE,2005010001,ALMAGRO,2,CABA,5,COMUNA 5,10,1.0,Privado,15,ESCIETE,Mediano riesgo con internación con cuidados especiales,1218,BOEDO 664,
15020072319239,GERIATRICO  ANDREA,2007010001,FLORES,2,CABA,7,COMUNA 7,10,1.0,Privado,15,ESCIETE,Mediano riesgo con internación con cuidados especiales,1406,AV. DIRECTORIO 2845,
52780282383561,CENTRO EDUCATIVO TERAPEUTICO,78028010000,EL CALAFATE,78,SANTA CRUZ,28,LAGO ARGENTINO,10,0.0,Privado,52,ESSIT,Centro educativo terapéutico,9050,Almirante G. Brown 821,
15020092319280,ENTRE AMIGOS,2009010002,MATADEROS,2,CABA,9,COMUNA 9,10,2.0,Privado,15,ESCIETE,Mediano riesgo con internación con cuidados especiales,1440,EMILIO CASTRO 6262,
53062702219216,SAME - EZEIZA,6270010004,JOSE MARIA EZEIZA,6,BUENOS AIRES,270,EZEIZA,10,4.0,Municipal,53,ESCL,Sistema de Atención extra hospitalaria,1804,SIN DATO,
15064902319313,HOGAR MANANTIAL,6490010004,TEMPERLEY,6,BUENOS AIRES,490,LOMAS DE ZAMORA,10,4.0,Privado,15,ESCIETE,Bajo riesgo con internación simple,1834,Indalecio Gómez N° 769,
50300152243839,CENTRO MUNICIPAL DE ATENCION PRIMARIA DE LA SALUD,30015140000,PUERTO YERUA,30,ENTRE RÍOS,15,CONCORDIA,140,0.0,Municipal,50,ESSIDT,Con atención médica general por lo menos 3 días de la semana,3201,EDUARDO OLIVER S/N,
53420212354565,SERVICIO DE INTERNACION DOMICILIARIA ALFREDO EYZAGUIRRE CESPEDES,42021020000,SANTA ROSA,42,LA PAMPA,21,CAPITAL,20,0.0,Privado,53,ESCL,Internación Domiciliaria,6300,AV. PEDRO LURO 757,
10700282378437,CLINICA FUNDACION CENCOR,70028010000,SAN JUAN,70,SAN JUAN,28,CAPITAL,10,0.0,Privado,10,ESCIG,Bajo riesgo con internación simple,5400,25 DE MAYO ESTE 336,
15820212388844,HOLEPAM ANGELES MARIA,82021310000,RAFAELA,82,SANTA FE,21,CASTELLANOS,310,0.0,Privado,15,ESCIETE,Bajo riesgo con internación simple,2300,Cordoba Nº 387,
53420352354575,SERVICIO DE INTERNACION DOMICILIARIA OASIS SALUD INTEGRAL DARIO BALSA,42035020000,EDUARDO CASTEX,42,LA PAMPA,35,CONHELO,20,0.0,Privado,53,ESCL,Internación Domiciliaria,6380,E. ZEBALLOS 1425,
52940072395467,GABINETE DE PSICOPEDAGOGIA GIMENA YANINA PEREZ MANSILLA,94007010000,RIO GRANDE,94,TIERRA DEL FUEGO,7,RÍO GRANDE,10,0.0,Privado,52,ESSIT,Centro educativo terapéutico,9420,TOMAS EDISON Nº 1080,
15580352368592,HOGAR DE ANCIANOS RESIDENCIA SOL Y LUNA,58035030000,CENTENARIO,58,NEUQUÉN,35,CONFLUENCIA,30,0.0,Privado,15,ESCIETE,Bajo riesgo con internación simple,8309,"Sección Chacras, Lote 149, B° Nueva España",
